Customer ID,Discount,Order Date,Order ID,Order Priority,Postal Code,Product ID,Profit,Quantity,Row ID (unique),Sales,Ship Date,Ship Mode,Shipping Cost,Order Line ID
DB-129701406,0.4,2016-12-26,CA-2016-DB12970140-42730,Medium,10024,FUR-TA-3423,-120.0508,2,38692,313.176,2016-12-31,Standard Class,25.92,CA-2016-DB12970140-42730FUR-TA-3423DB-129701406
KH-166301402,0 discount,2016-12-14,CA-2016-KH16630140-42718,High,73071,TEC-AC-5211,24.9132,4,31752,63.88,2016-12-18,Standard Class,4.9,CA-2016-KH16630140-42718TEC-AC-5211KH-166301402
MY-1829536,0.2,2016-11-19,MX-2016-MY1829536-42693,Medium,-,OFF-SU-4320,5.056,2,3327,50.816,2016-11-25,Standard Class,1.98,MX-2016-MY1829536-42693OFF-SU-4320MY-1829536
JD-1606051,0 discount,2016-05-27,MX-2016-JD1606051-42517,Medium,-,OFF-EN-5043,5.32,1,9534,13.66,2016-06-01,Standard Class,1.167,MX-2016-JD1606051-42517OFF-EN-5043JD-1606051
BF-112157,0.1,2016-08-15,IN-2016-BF112157-42597,Medium,-,FUR-BO-3906,143.916,4,25268,446.796,2016-08-21,Standard Class,32.66,IN-2016-BF112157-42597FUR-BO-3906BF-112157
LW-682560,0 discount,2016-09-01,IR-2016-LW682560-42614,Low,-,FUR-CH-5449,5.7,1,41348,143.16,2016-09-08,Standard Class,16.37,IR-2016-LW682560-42614FUR-CH-5449LW-682560
RH-1949518,0 discount,2016-01-31,MX-2016-RH1949518-42400,Medium,-,OFF-BI-6400,5.28,6,3118,19.56,2016-02-06,Standard Class,1.15,MX-2016-RH1949518-42400OFF-BI-6400RH-1949518
PW-1924091,0.5,2016-01-04,IT-2016-PW1924091-42373,High,-,OFF-FA-6184,-0.78,2,16816,18.66,2016-01-06,Second Class,1.52,IT-2016-PW1924091-42373OFF-FA-6184PW-1924091
CL-1189051,0 discount,2016-11-14,MX-2016-CL1189051-42688,Low,-,OFF-SU-4321,76.44,7,8336,206.92,2016-11-20,Standard Class,24.119,MX-2016-CL1189051-42688OFF-SU-4321CL-1189051
CL-12565139,0 discount,2016-02-28,ES-2016-CL12565139-42428,Medium,-,OFF-FA-2945,31.32,6,18247,84.96,2016-03-04,Standard Class,4.75,ES-2016-CL12565139-42428OFF-FA-2945CL-12565139
MG-176501402,0 discount,2016-12-13,CA-2016-MG17650140-42717,Medium,49201,TEC-PH-4894,184.2204,7,35870,657.93,2016-12-19,Standard Class,45.78,CA-2016-MG17650140-42717TEC-PH-4894MG-176501402
HW-493560,0 discount,2016-06-03,IR-2016-HW493560-42524,High,-,FUR-FU-3929,4.53,1,46006,50.37,2016-06-03,Same Day,1.4,IR-2016-HW493560-42524FUR-FU-3929HW-493560
CM-183060,0 discount,2016-08-16,IR-2016-CM183060-42598,Medium,-,OFF-FA-6208,4.35,1,42925,13.65,2016-08-18,First Class,2.71,IR-2016-CM183060-42598OFF-FA-6208CM-183060
MM-1726051,0 discount,2016-01-04,MX-2016-MM1726051-42373,Medium,-,OFF-PA-4170,13.44,2,3618,29.88,2016-01-08,Standard Class,2.013,MX-2016-MM1726051-42373OFF-PA-4170MM-1726051
LC-1688591,0.7,2016-03-07,IT-2016-LC1688591-42436,Medium,-,FUR-TA-3356,-643.728,2,19998,311.472,2016-03-11,Standard Class,24.54,IT-2016-LC1688591-42436FUR-TA-3356LC-1688591
RL-961538,0 discount,2016-01-28,EG-2016-RL961538-42397,High,-,OFF-BI-4804,11.82,1,44852,31.95,2016-02-01,Standard Class,3.06,EG-2016-RL961538-42397OFF-BI-4804RL-961538
XP-218651404,0 discount,2016-11-04,CA-2016-XP21865140-42678,Medium,90049,OFF-FA-6192,5.0358,7,35777,15.26,2016-11-09,Standard Class,1.34,CA-2016-XP21865140-42678OFF-FA-6192XP-218651404
EM-13810120,0 discount,2016-07-03,ES-2016-EM13810120-42554,Medium,-,OFF-AR-3461,4.32,3,12136,87.84,2016-07-08,Standard Class,2.33,ES-2016-EM13810120-42554OFF-AR-3461EM-13810120
