Product ID,Product Name,Segment,Category - Subcategory,Product Weight Pounds
FUR-CH-4560,"harbour creations steel folding chair, set of two",Consumer,Furniture - Chairs,107
OFF-BI-3726,"cardinal binding machine, economy",Corporate,Office Supplies - Binders,114
OFF-ST-4108,"eldon trays, wire frame",Home Office,Office Supplies - Storage,22
OFF-AR-6115,"stanley markers, easy-erase",Consumer,Office Supplies - Art,84
OFF-AR-6118,"stanley pencil sharpener, easy-erase",Consumer,Office Supplies - Art,35
TEC-CO-3607,"brother personal copier, laser",Home Office,Technology - Copiers,73
FUR-TA-3423,"bevis oval conference table, walnut",Corporate,Furniture - Tables,11
TEC-PH-5815,"samsung audio dock, with caller id",Corporate,Technology - Phones,99
TEC-AC-5211,memorex mini travel drive 16 gb usb 2.0 flash drive,Corporate,Technology - Accessories,126
TEC-AC-4940,keytronic e03601u1 - keyboard - beige,Corporate,Technology - Accessories,49
OFF-BI-4368,gbc standard therm-a-bind covers,Consumer,Office Supplies - Binders,83
FUR-FU-4760,"howard miller 13-1/2"" diameter rosebrook wall clock",Corporate,Furniture - Furnishings,19
OFF-AR-5919,"sanford markers, fluorescent",Consumer,Office Supplies - Art,23
FUR-CH-5048,"leather task chair, black",Consumer,Furniture - Chairs,102
OFF-SU-4322,"fiskars shears, steel",Corporate,Office Supplies - Supplies,27
OFF-LA-3312,"avery removable labels, alphabetical",Corporate,Office Supplies - Labels,21
FUR-CH-4631,"hon chairmat, black",Home Office,Furniture - Chairs,69
TEC-AC-5889,"sandisk numeric keypad, usb",Home Office,Technology - Accessories,139
OFF-EN-3097,"ames interoffice envelope, security-tint",Consumer,Office Supplies - Envelopes,115
FUR-CH-5456,"office star swivel stool, red",Consumer,Furniture - Chairs,111
OFF-EN-3656,"cameo business envelopes, set of 50",Consumer,Office Supplies - Envelopes,45
FUR-CH-4701,"hon swivel stool, adjustable",Consumer,Furniture - Chairs,107
FUR-BO-3886,"dania 3-shelf cabinet, mobile",Corporate,Furniture - Bookcases,137
OFF-SU-2985,"acme ruler, high speed",Home Office,Office Supplies - Supplies,139
OFF-SU-4320,"fiskars shears, high speed",Corporate,Office Supplies - Supplies,115
OFF-EN-5043,"kraft peel and seal, set of 50",Consumer,Office Supplies - Envelopes,108
TEC-AC-5863,"sandisk flash drive, usb",Consumer,Technology - Accessories,16
