Return ID,Order ID,Customer ID,Product ID,Order Date,Return Date,Return Amount,Order Line ID,Return Line ID
20620,MX-2015-BD1160518-42108,BD-1160518,TEC-CO-3681,2015-04-14,2015-05-09,523.23144,MX-2015-BD1160518-42108TEC-CO-3681BD-1160518,20620MX-2015-BD1160518-42108TEC-CO-3681BD-1160518
49332,MX-2014-KH1636039-41938,KH-1636039,OFF-AR-3459,2014-10-26,2014-10-31,59.22,MX-2014-KH1636039-41938OFF-AR-3459KH-1636039,49332MX-2014-KH1636039-41938OFF-AR-3459KH-1636039
32165,MX-2016-CP1234018-42535,CP-1234018,OFF-AR-3482,2016-06-14,2016-06-27,33.72,MX-2016-CP1234018-42535OFF-AR-3482CP-1234018,32165MX-2016-CP1234018-42535OFF-AR-3482CP-1234018
38616,IN-2017-KC1654059-43058,KC-1654059,OFF-BI-2914,2017-11-19,2017-11-26,11.0556,IN-2017-KC1654059-43058OFF-BI-2914KC-1654059,38616IN-2017-KC1654059-43058OFF-BI-2914KC-1654059
30036,TU-2014-PW9240134-41701,PW-9240134,TEC-MA-5576,2014-03-03,2014-03-23,94.44,TU-2014-PW9240134-41701TEC-MA-5576PW-9240134,30036TU-2014-PW9240134-41701TEC-MA-5576PW-9240134
27122,ID-2016-DB13210144-42596,DB-13210144,OFF-ST-6273,2016-08-14,2016-09-04,45.7662,ID-2016-DB13210144-42596OFF-ST-6273DB-13210144,27122ID-2016-DB13210144-42596OFF-ST-6273DB-13210144
24954,CA-2017-RB19465140-43091,RB-194651402,OFF-FA-6129,2017-12-22,2018-01-18,15.92,CA-2017-RB19465140-43091OFF-FA-6129RB-194651402,24954CA-2017-RB19465140-43091OFF-FA-6129RB-194651402
33652,US-2016-SC20770140-42443,SC-207701406,OFF-BI-4372,2016-03-14,2016-03-26,23.16,US-2016-SC20770140-42443OFF-BI-4372SC-207701406,33652US-2016-SC20770140-42443OFF-BI-4372SC-207701406
51103,KE-2017-LO717069-43096,LO-717069,TEC-PH-3806,2017-12-27,2018-01-04,652.68,KE-2017-LO717069-43096TEC-PH-3806LO-717069,51103KE-2017-LO717069-43096TEC-PH-3806LO-717069
35824,IN-2015-DL128657-42278,DL-128657,TEC-CO-4792,2015-10-01,2015-10-27,972.567,IN-2015-DL128657-42278TEC-CO-4792DL-128657,35824IN-2015-DL128657-42278TEC-CO-4792DL-128657
43891,TU-2017-GA4725134-42981,GA-4725134,OFF-AP-3577,2017-09-03,2017-09-15,206.988,TU-2017-GA4725134-42981OFF-AP-3577GA-4725134,43891TU-2017-GA4725134-42981OFF-AP-3577GA-4725134
43897,ES-2017-BT1130548-42951,BT-1130548,TEC-PH-5812,2017-08-04,2017-08-13,848.4,ES-2017-BT1130548-42951TEC-PH-5812BT-1130548,43897ES-2017-BT1130548-42951TEC-PH-5812BT-1130548
7106,IN-2016-SH2063527-42583,SH-2063527,TEC-CO-3684,2016-08-01,2016-08-20,568.62,IN-2016-SH2063527-42583TEC-CO-3684SH-2063527,7106IN-2016-SH2063527-42583TEC-CO-3684SH-2063527
25110,US-2017-BP1123055-42987,BP-1123055,OFF-ST-5694,2017-09-09,2017-09-22,61.38,US-2017-BP1123055-42987OFF-ST-5694BP-1123055,25110US-2017-BP1123055-42987OFF-ST-5694BP-1123055
45931,MX-2017-GH1466536-43025,GH-1466536,TEC-CO-5991,2017-10-17,2017-10-21,891.5256,MX-2017-GH1466536-43025TEC-CO-5991GH-1466536,45931MX-2017-GH1466536-43025TEC-CO-5991GH-1466536
1887,MX-2015-JL15505141-42177,JL-15505141,OFF-BI-3293,2015-06-22,2015-07-05,8.44,MX-2015-JL15505141-42177OFF-BI-3293JL-15505141,1887MX-2015-JL15505141-42177OFF-BI-3293JL-15505141
31728,TU-2016-BP1185134-42387,BP-1185134,TEC-PH-3798,2016-01-18,2016-01-30,32.22,TU-2016-BP1185134-42387TEC-PH-3798BP-1185134,31728TU-2016-BP1185134-42387TEC-PH-3798BP-1185134
