Return ID,Order ID,Customer ID,Product ID,Order Date,Return Date,Return Amount,Order Line ID,Return Line ID
38616,IN-2017-KC1654059-43058,KC-1654059,OFF-BI-2914,2017-11-19,2017-11-26,11.0556,IN-2017-KC1654059-43058OFF-BI-2914KC-1654059,38616IN-2017-KC1654059-43058OFF-BI-2914KC-1654059
24954,CA-2017-RB19465140-43091,RB-194651402,OFF-FA-6129,2017-12-22,2018-01-18,15.92,CA-2017-RB19465140-43091OFF-FA-6129RB-194651402,24954CA-2017-RB19465140-43091OFF-FA-6129RB-194651402
51103,KE-2017-LO717069-43096,LO-717069,TEC-PH-3806,2017-12-27,2018-01-04,652.68,KE-2017-LO717069-43096TEC-PH-3806LO-717069,51103KE-2017-LO717069-43096TEC-PH-3806LO-717069
43891,TU-2017-GA4725134-42981,GA-4725134,OFF-AP-3577,2017-09-03,2017-09-15,206.988,TU-2017-GA4725134-42981OFF-AP-3577GA-4725134,43891TU-2017-GA4725134-42981OFF-AP-3577GA-4725134
43897,ES-2017-BT1130548-42951,BT-1130548,TEC-PH-5812,2017-08-04,2017-08-13,848.4,ES-2017-BT1130548-42951TEC-PH-5812BT-1130548,43897ES-2017-BT1130548-42951TEC-PH-5812BT-1130548
25110,US-2017-BP1123055-42987,BP-1123055,OFF-ST-5694,2017-09-09,2017-09-22,61.38,US-2017-BP1123055-42987OFF-ST-5694BP-1123055,25110US-2017-BP1123055-42987OFF-ST-5694BP-1123055
45931,MX-2017-GH1466536-43025,GH-1466536,TEC-CO-5991,2017-10-17,2017-10-21,891.5256,MX-2017-GH1466536-43025TEC-CO-5991GH-1466536,45931MX-2017-GH1466536-43025TEC-CO-5991GH-1466536
55840,ID-2017-KE1642059-42891,KE-1642059,OFF-FA-2951,2017-06-05,2017-06-09,25.6149,ID-2017-KE1642059-42891OFF-FA-2951KE-1642059,55840ID-2017-KE1642059-42891OFF-FA-2951KE-1642059
63445,ES-2017-BT1130548-43072,BT-1130548,OFF-BI-6379,2017-12-03,2017-12-18,43.56,ES-2017-BT1130548-43072OFF-BI-6379BT-1130548,63445ES-2017-BT1130548-43072OFF-BI-6379BT-1130548
41679,IN-2017-JL1550527-42969,JL-1550527,OFF-SU-3002,2017-08-22,2017-08-24,89.16,IN-2017-JL1550527-42969OFF-SU-3002JL-1550527,41679IN-2017-JL1550527-42969OFF-SU-3002JL-1550527
1973,IN-2017-JP1546027-42878,JP-1546027,OFF-EN-3673,2017-05-23,2017-06-13,79.2,IN-2017-JP1546027-42878OFF-EN-3673JP-1546027,1973IN-2017-JP1546027-42878OFF-EN-3673JP-1546027
64150,IN-2017-GD145907-42882,GD-145907,TEC-CO-6009,2017-05-27,2017-06-17,643.248,IN-2017-GD145907-42882TEC-CO-6009GD-145907,64150IN-2017-GD145907-42882TEC-CO-6009GD-145907
24192,ID-2017-DL129257-43043,DL-129257,TEC-AC-3387,2017-11-04,2017-11-25,201.816,ID-2017-DL129257-43043TEC-AC-3387DL-129257,24192ID-2017-DL129257-43043TEC-AC-3387DL-129257
31022,CA-2017-TB21400140-42898,TB-214001404,TEC-MA-3789,2017-06-12,2017-07-05,385.8,CA-2017-TB21400140-42898TEC-MA-3789TB-214001404,31022CA-2017-TB21400140-42898TEC-MA-3789TB-214001404
8262,MX-2017-HM1486082-42959,HM-1486082,OFF-EN-5026,2017-08-12,2017-09-04,15.2,MX-2017-HM1486082-42959OFF-EN-5026HM-1486082,8262MX-2017-HM1486082-42959OFF-EN-5026HM-1486082
5976,MX-2017-BD117255-42910,BD-117255,OFF-AP-4958,2017-06-24,2017-07-10,248.856,MX-2017-BD117255-42910OFF-AP-4958BD-117255,5976MX-2017-BD117255-42910OFF-AP-4958BD-117255
28136,CA-2017-LT676523-43092,LT-676523,OFF-BI-3252,2017-12-23,2017-12-31,28.8,CA-2017-LT676523-43092OFF-BI-3252LT-676523,28136CA-2017-LT676523-43092OFF-BI-3252LT-676523
21498,CA-2017-PK19075140-42983,PK-190751404,OFF-BI-2935,2017-09-05,2017-09-24,13.344,CA-2017-PK19075140-42983OFF-BI-2935PK-190751404,21498CA-2017-PK19075140-42983OFF-BI-2935PK-190751404
31934,ES-2017-DR12940120-43010,DR-12940120,OFF-PA-4479,2017-10-02,2017-10-18,135.72,ES-2017-DR12940120-43010OFF-PA-4479DR-12940120,31934ES-2017-DR12940120-43010OFF-PA-4479DR-12940120
18714,CA-2017-DB13210140-43091,DB-132101406,OFF-SU-2974,2017-12-22,2017-12-29,69.5,CA-2017-DB13210140-43091OFF-SU-2974DB-132101406,18714CA-2017-DB13210140-43091OFF-SU-2974DB-132101406
26060,RS-2017-SR10740108-43079,SR-10740108,FUR-FU-4043,2017-12-10,2017-12-13,195.12,RS-2017-SR10740108-43079FUR-FU-4043SR-10740108,26060RS-2017-SR10740108-43079FUR-FU-4043SR-10740108
24467,CA-2017-ED13885140-42786,ED-138851404,OFF-AR-5298,2017-02-20,2017-03-17,12.84,CA-2017-ED13885140-42786OFF-AR-5298ED-138851404,24467CA-2017-ED13885140-42786OFF-AR-5298ED-138851404
51664,ES-2017-RA1928548-42749,RA-1928548,TEC-AC-5195,2017-01-14,2017-01-21,92.7,ES-2017-RA1928548-42749TEC-AC-5195RA-1928548,51664ES-2017-RA1928548-42749TEC-AC-5195RA-1928548
41588,ES-2017-NC1834045-43095,NC-1834045,TEC-MA-5493,2017-12-26,2018-01-07,133.6455,ES-2017-NC1834045-43095TEC-MA-5493NC-1834045,41588ES-2017-NC1834045-43095TEC-MA-5493NC-1834045
25911,CA-2017-CS12460140-43073,CS-124601406,OFF-BI-4355,2017-12-04,2017-12-25,83.92,CA-2017-CS12460140-43073OFF-BI-4355CS-124601406,25911CA-2017-CS12460140-43073OFF-BI-4355CS-124601406
24723,IN-2017-CS1246011-42805,CS-1246011,FUR-BO-5943,2017-03-11,2017-03-29,166.68,IN-2017-CS1246011-42805FUR-BO-5943CS-1246011,24723IN-2017-CS1246011-42805FUR-BO-5943CS-1246011
